,MJD,RA,DEC,Flux,Flux_err
78,59191.5,22:02:43.198,42:16:40.8,6.4844556e-08,3.590581e-09
79,59192.5,22:02:43.198,42:16:40.8,8.547646e-08,1.987769e-08
80,59193.5,22:02:43.198,42:16:40.8,3.8924554e-08,1.02964295e-08
81,59194.5,22:02:43.198,42:16:40.8,8.0653315e-08,2.9004873e-08
82,59195.5,22:02:43.198,42:16:40.8,8.6962835e-08,2.1570271e-08
83,59196.5,22:02:43.198,42:16:40.8,8.1203275e-08,2.9510549e-08
84,59197.5,22:02:43.198,42:16:40.8,3.789509e-08,9.238659e-09
85,59198.5,22:02:43.198,42:16:40.8,7.7531766e-08,3.031748e-08
86,59199.5,22:02:43.198,42:16:40.8,6.308353e-08,1.6955987e-08
87,59200.5,22:02:43.198,42:16:40.8,1.0305512e-07,3.3029263e-08
88,59201.5,22:02:43.198,42:16:40.8,8.5272276e-08,3.2016228e-08
89,59202.5,22:02:43.198,42:16:40.8,1.0987985e-07,2.5888061e-08
90,59203.5,22:02:43.198,42:16:40.8,8.240961e-08,2.2605645e-08
91,59204.5,22:02:43.198,42:16:40.8,9.711191e-08,2.4833763e-08
92,59205.5,22:02:43.198,42:16:40.8,7.668043e-08,2.5341118e-08
93,59206.5,22:02:43.198,42:16:40.8,4.9078757e-08,3.8633057e-09
94,59207.5,22:02:43.198,42:16:40.8,8.80885e-08,4.7494892e-09
95,59208.5,22:02:43.198,42:16:40.8,5.6171483e-08,2.1592458e-08
96,59209.5,22:02:43.198,42:16:40.8,9.799228e-08,7.0394113e-09
97,59210.5,22:02:43.198,42:16:40.8,8.096704e-08,8.6213126e-09
98,59211.5,22:02:43.198,42:16:40.8,1.6036314e-07,3.334786e-08
99,59212.5,22:02:43.198,42:16:40.8,1.7918528e-07,3.425867e-08
100,59213.5,22:02:43.198,42:16:40.8,3.9852612e-08,1.6521241e-08
101,59214.5,22:02:43.198,42:16:40.8,7.905129e-08,7.870762e-09
102,59215.5,22:02:43.198,42:16:40.8,1.0449315e-07,2.3974712e-08
103,59216.5,22:02:43.198,42:16:40.8,1.0169521e-07,2.3435437e-08
