mjd,rotskypa,rotang,gain,mag,mag_err,q,q_err,u,u_err,pol,pol_err,EVPA,EVPA_err
59406.051,-288.808,0.4686,0.55,13.07108573,0.011141771,-0.024114161,0.004284969,0.015822894,0.004433376,3.314877234,0.433339632,144.5562376,4.359708444
59408.07105,-297.44,0.3432,0.55,13.39890023,0.018408153,-0.113541345,0.005094814,0.010348504,0.002944712,13.25271097,0.41610369,149.9561384,0.745971612
59409.0493,-290.731,0.515,0.55,13.51247966,0.009163882,-0.084568814,0.003077691,-0.060325195,0.003286247,12.07325314,0.318367738,177.0196389,0.887299073
59409.99984,-278.606,0.2134,0.55,13.57156402,0.009612574,-0.059246566,0.003367136,-0.023669539,0.003100511,7.40959396,0.323657563,2.282577801,1.409300309
59411.04765,-291.981,0.4889,0.55,13.7147784,0.008836957,-0.098852833,0.003036046,-0.049476512,0.002643733,12.84995437,0.284665585,171.3131375,0.706677527
59412.0425,-291.022,0.6511,0.55,13.51834708,0.009922267,-0.118085156,0.003220076,-0.033943264,0.00415468,14.27891763,0.37168705,166.9965783,0.953839346
59413.03298,-289.292,0.312,0.55,13.64354744,0.011524859,-0.036151243,0.003475623,0.001229791,0.011785711,3.983059095,0.89536716,159.7338333,9.329207737
59414.95889,-272.492,0.2049,0.55,13.08076746,0.016681297,-0.007099696,0.005078552,-0.036852895,0.002357116,4.325183695,0.39602601,37.05579084,3.821762412
59415.97274,-276.058,0.2945,0.55,13.3338142,0.013028433,-0.002732494,0.005269022,-0.01845311,0.003069749,2.083806982,0.441654818,34.73048983,8.034213339
59416.97955,-278.254,0.2281,0.55,13.33574263,0.013352691,-0.086685723,0.00286828,0.04748613,0.002204761,11.48970786,0.255812441,157.3891145,0.688207121
59417.94918,-272.183,0.2035,0.55,13.6736532,0.023055042,-0.092264549,0.006033764,-0.025919752,0.006365297,11.11934873,0.620156162,5.662786184,1.895675961
59420.94338,-272.482,0.3756,0.55,13.43978521,0.020544552,-0.036061237,0.018550337,-0.003718891,0.006518195,4.142177342,1.467826999,0.461966618,5.339830151
59421.97447,-280.328,0.2424,0.55,13.46729793,0.012543845,-0.001915884,0.004256041,-0.058173293,0.003198674,6.749918834,0.376455285,33.72884873,2.094290925
59423.01298,-291.367,0.4931,0.55,13.34940013,0.011114556,-0.081930624,0.002792345,0.110529839,0.002438031,15.99517109,0.262118136,131.9069095,0.556382144
59423.96844,-280.212,0.2271,0.55,13.10310889,0.008683342,-0.055008869,0.002248547,0.087983972,0.001831006,12.06312171,0.205043248,140.7951134,0.590669421
59424.95948,-278.725,0.2216,0.55,13.23522187,0.010177011,-0.103583563,0.00275468,0.05076123,0.002078855,13.41061349,0.244027662,158.2213946,0.552779281
59425.92989,-272.655,0.253,0.55,12.66761872,0.011543574,-0.082360501,0.001993057,0.070197714,0.001803431,12.58148998,0.190061047,157.1241479,0.49915283
59426.93693,-274.615,0.4418,0.55,12.98379742,0.019651043,-0.012654693,0.003997622,0.012912562,0.002498816,2.066239838,0.333280649,152.5960705,5.305402066
